Accel_x,Accel_y,Accel_z
0.577,0.495,-0.167
0.558,0.512,-0.207
0.498,0.515,-0.238
0.475,0.518,-0.3
0.495,0.507,-0.328
0.518,0.5,-0.341
0.57,0.519,-0.361
0.559,0.508,-0.366
0.633,0.473,-0.407
0.683,0.435,-0.438
0.717,0.444,-0.44
0.765,0.413,-0.505
0.68,0.388,-0.528
0.506,0.431,-0.53
0.575,0.418,-0.581
0.63,0.396,-0.58
0.726,0.369,-0.593
0.746,0.366,-0.595
0.755,0.321,-0.743
0.737,0.258,-0.704
0.726,0.286,-0.706
0.789,0.253,-0.857
0.798,0.231,-0.806
0.803,0.169,-0.86
0.821,0.16,-0.843
0.836,0.139,-0.872
0.881,0.116,-0.936
0.896,0.132,-0.952
0.925,0.09,-0.962
0.92,0.094,-0.969
0.904,0.094,-0.97
0.912,0.101,-0.962
0.9,0.09,-0.936
0.896,0.066,-0.89
0.88,0.061,-0.828
0.87,0.058,-0.794
0.863,0.057,-0.727
0.856,0.054,-0.659
0.847,0.057,-0.605
0.839,0.066,-0.587
0.836,0.081,-0.563
0.83,0.094,-0.557
0.817,0.127,-0.561
0.817,0.153,-0.569
0.824,0.163,-0.577
0.819,0.171,-0.591
0.814,0.176,-0.611
0.802,0.18,-0.614
0.799,0.177,-0.614
0.797,0.172,-0.608
0.79,0.166,-0.606
0.777,0.164,-0.602
0.769,0.166,-0.602
0.756,0.166,-0.61
0.743,0.174,-0.615
0.726,0.176,-0.629
0.721,0.169,-0.636
0.713,0.165,-0.637
0.711,0.155,-0.639
0.709,0.151,-0.635
0.702,0.147,-0.635
0.697,0.148,-0.645
0.704,0.15,-0.652
0.704,0.158,-0.661
0.748,-0.159,-1.062
0.71,-0.193,-1.076
0.746,-0.257,-1.082
0.76,-0.267,-1.004
0.796,-0.263,-0.956
0.819,-0.257,-0.898
0.826,-0.249,-0.83
0.804,-0.208,-0.768
0.786,-0.165,-0.724
0.787,-0.145,-0.69
0.783,-0.138,-0.668
0.782,-0.135,-0.656
